"hmdb_Id"	"kegg_Id"	"super_class"	"class"
"7745"	"HMDB12195"	"C03906"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"7746"	"HMDB12196"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"7747"	"HMDB12197"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7748"	"HMDB12199"	"C00251"	"Organic Acids and Derivatives"	"Carboxylic Acids and Derivatives"
"7749"	"HMDB12201"	"C16443"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7750"	"HMDB12202"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7751"	"HMDB12203"	"C15546"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7752"	"HMDB12204"	"C00371"	"Aromatic Heteropolycyclic Compounds"	"Imidazopyrimidines"
"7753"	"HMDB12206"	"C03691"	"Carbohydrates and Carbohydrate Conjugates"	"Sugar Acids and Derivatives"
"7754"	"HMDB12207"	"C06322"	"Lipids"	"Fatty Acid Esters"
"7755"	"HMDB12208"	"C04666"	"Aromatic Heteromonocyclic Compounds"	"Azoles"
"7756"	"HMDB12209"	"C06608"	"Organophosphorus Compounds"	"Organic Phosphoric Acids and Derivatives"
"7757"	"HMDB12210"	"C02147"	"Lipids"	"Fatty Acids and Conjugates"
"7758"	"HMDB12211"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7759"	"HMDB12212"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Disaccharides"
"7760"	"HMDB12213"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7761"	"HMDB12214"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7762"	"HMDB12215"	"C02029"	"Aromatic Heteropolycyclic Compounds"	"Imidazopyrimidines"
"7763"	"HMDB12216"	"C20300"	"Organometallic Compounds"	"N/A"
"7764"	"HMDB12217"	"NA"	"Lipids"	"Prenol Lipids"
"7765"	"HMDB12218"	"NA"	"Lipids"	"Prenol Lipids"
"7766"	"HMDB12219"	"NA"	"Aliphatic Homomonocyclic Compounds"	"Benzoquinones"
"7767"	"HMDB12220"	"NA"	"Alkaloids and Derivatives"	"Betalains"
"7768"	"HMDB12221"	"C08543"	"Alkaloids and Derivatives"	"Betalains"
"7769"	"HMDB12222"	"NA"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"7770"	"HMDB12223"	"C09818"	"Lipids"	"Fatty Acid Esters"
"7771"	"HMDB12224"	"C13766"	"Aromatic Homomonocyclic Compounds"	"Phenylbutylamines"
"7772"	"HMDB12225"	"C02763"	"Aromatic Homomonocyclic Compounds"	"Cinnamic Acid Derivatives"
"7773"	"HMDB12226"	"C07943"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"7774"	"HMDB12227"	"NA"	"Aromatic Homomonocyclic Compounds"	"Phenethylamines"
"7775"	"HMDB12228"	"NA"	"Organophosphorus Compounds"	"Organic Phosphoric Acids and Derivatives"
"7776"	"HMDB12230"	"C15699"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7777"	"HMDB12231"	"C04217"	"Lipids"	"Prenol Lipids"
"7778"	"HMDB12232"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Polysaccharides"
"7779"	"HMDB12233"	"C03273"	"Lipids"	"Fatty Acids and Conjugates"
"7780"	"HMDB12234"	"NA"	"Aromatic Heteromonocyclic Compounds"	"Azoles"
"7781"	"HMDB12235"	"NA"	"Aromatic Homomonocyclic Compounds"	"Phenethylamines"
"7782"	"HMDB12236"	"C01267"	"Aromatic Heteromonocyclic Compounds"	"Azoles"
"7783"	"HMDB12237"	"NA"	"Lipids"	"Sphingolipids"
"7784"	"HMDB12238"	"C00708"	"Homogeneous Non-metal Compounds"	"Homogeneous Halogens"
"7785"	"HMDB12240"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7786"	"HMDB12241"	"C02631"	"Lipids"	"Fatty Acids and Conjugates"
"7787"	"HMDB12242"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Phenylpiperazines"
"7788"	"HMDB12243"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7789"	"HMDB12244"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Glycosyl Compounds"
"7790"	"HMDB12245"	"C08272"	"Aromatic Heteropolycyclic Compounds"	"Imidazopyrimidines"
"7791"	"HMDB12246"	"NA"	"Aromatic Homomonocyclic Compounds"	"Benzoic Acid and Derivatives"
"7792"	"HMDB12247"	"C03340"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7793"	"HMDB12248"	"C05231"	"Lipids"	"Fatty Acid Esters"
"7794"	"HMDB12249"	"C00441"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7795"	"HMDB12250"	"C03082"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7796"	"HMDB12251"	"C08270"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7797"	"HMDB12252"	"NA"	"Lipids"	"Fatty Amides"
"7798"	"HMDB12253"	"C01936"	"Carbohydrates and Carbohydrate Conjugates"	"Oligosaccharides"
"7799"	"HMDB12254"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Oligosaccharides"
"7800"	"HMDB12255"	"NA"	"Lipids"	"Prenol Lipids"
"7801"	"HMDB12256"	"NA"	"Lipids"	"Sphingolipids"
"7802"	"HMDB12257"	"NA"	"Lipids"	"Sphingolipids"
"7803"	"HMDB12258"	"C07294"	"Organometallic Compounds"	"N/A"
"7804"	"HMDB12259"	"C07295"	"Organometallic Compounds"	"N/A"
"7805"	"HMDB12260"	"C06232"	"Mixed Metal/Non-metal Compounds"	"Miscellaneous Mixed Metal/Non-metals"
"7806"	"HMDB12261"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Pteridines and Derivatives"
"7807"	"HMDB12262"	"NA"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"7808"	"HMDB12264"	"NA"	"Lipids"	"Prenol Lipids"
"7809"	"HMDB12265"	"C01043"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7810"	"HMDB12266"	"C04462"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7811"	"HMDB12267"	"C04421"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7812"	"HMDB12268"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7813"	"HMDB12270"	"C10719"	"Lignans and Norlignans"	"Dibenzylbutane Lignans"
"7814"	"HMDB12271"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7815"	"HMDB12273"	"NA"	"Lipids"	"Fatty Amides"
"7816"	"HMDB12275"	"C05332"	"Aromatic Homomonocyclic Compounds"	"Phenethylamines"
"7817"	"HMDB12276"	"NA"	"Nucleosides, Nucleotides, and Analogues"	"Purine Nucleotides"
"7818"	"HMDB12277"	"C04896"	"Nucleosides, Nucleotides, and Analogues"	"Imidazole Nucleosides and Nucleotides"
"7819"	"HMDB12278"	"C04916"	"Nucleosides, Nucleotides, and Analogues"	"Imidazole Nucleosides and Nucleotides"
"7820"	"HMDB12280"	"NA"	"Lipids"	"Sphingolipids"
"7821"	"HMDB12281"	"NA"	"Alkaloids and Derivatives"	"Betalains"
"7822"	"HMDB12282"	"C00404"	"Homogeneous Non-metal Compounds"	"Non-metal Oxoanionic Compounds"
"7823"	"HMDB12283"	"C00254"	"Organic Acids and Derivatives"	"Keto-Acids and Derivatives"
"7824"	"HMDB12285"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"7825"	"HMDB12286"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7826"	"HMDB12288"	"NA"	"Mixed Metal/Non-metal Compounds"	"Metalloid Organides"
"7827"	"HMDB12289"	"C03972"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"7828"	"HMDB12290"	"C04144"	"Aromatic Heteropolycyclic Compounds"	"Pteridines and Derivatives"
"7829"	"HMDB12295"	"C01008"	"Aliphatic Acyclic Compounds"	"N/A"
"7830"	"HMDB12296"	"NA"	"Aliphatic Acyclic Compounds"	"Carbonyl Compounds"
"7831"	"HMDB12299"	"NA"	"Lipids"	"Prenol Lipids"
"7832"	"HMDB12300"	"C04089"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"7833"	"HMDB12301"	"C01623"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"7834"	"HMDB12302"	"C00617"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"7835"	"HMDB12303"	"C00935"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"7836"	"HMDB12304"	"C02330"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"7837"	"HMDB12305"	"C02199"	"Nucleosides, Nucleotides, and Analogues"	"Pyrimidine Nucleotides"
"7838"	"HMDB12306"	"NA"	"Lipids"	"Prenol Lipids"
"7839"	"HMDB12307"	"NA"	"Lipids"	"Prenol Lipids"
"7840"	"HMDB12308"	"C00755"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"7841"	"HMDB12309"	"C16666"	"Aromatic Homomonocyclic Compounds"	"Phenols and Derivatives"
"7842"	"HMDB12310"	"C15978"	"Aromatic Heteropolycyclic Compounds"	"Thiamines"
"7843"	"HMDB12311"	"C06125"	"Lipids"	"Sphingolipids"
"7844"	"HMDB12312"	"C06125"	"Lipids"	"Sphingolipids"
"7845"	"HMDB12313"	"C06125"	"Lipids"	"Sphingolipids"
"7846"	"HMDB12314"	"C06125"	"Lipids"	"Sphingolipids"
"7847"	"HMDB12315"	"C06125"	"Lipids"	"Sphingolipids"
"7848"	"HMDB12316"	"C06125"	"Lipids"	"Sphingolipids"
"7849"	"HMDB12317"	"C06125"	"Lipids"	"Sphingolipids"
"7850"	"HMDB12318"	"C06125"	"Lipids"	"Sphingolipids"
"7851"	"HMDB12319"	"C06125"	"Lipids"	"Sphingolipids"
"7852"	"HMDB12320"	"C02686 "	"Lipids"	"Sphingolipids"
"7853"	"HMDB12321"	"C02686 "	"Lipids"	"Sphingolipids"
"7854"	"HMDB12322"	"C11713"	"Aromatic Homomonocyclic Compounds"	"Acenes"
"7855"	"HMDB12325"	"C06115"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"7856"	"HMDB12326"	"C15923"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"7857"	"HMDB12327"	"C02781"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"7858"	"HMDB12328"	"NA"	"Lipids"	"Fatty Acids and Conjugates"
"7859"	"HMDB12329"	"C16683"	"Lipids"	"Prenol Lipids"
"7860"	"HMDB12330"	"NA"	"Lipids"	"Glycerophospholipids"
"7861"	"HMDB12331"	"NA"	"Lipids"	"Glycerophospholipids"
"7862"	"HMDB12332"	"NA"	"Lipids"	"Glycerophospholipids"
"7863"	"HMDB12333"	"NA"	"Lipids"	"Glycerophospholipids"
"7864"	"HMDB12334"	"NA"	"Lipids"	"Glycerophospholipids"
"7865"	"HMDB12335"	"NA"	"Lipids"	"Glycerophospholipids"
"7866"	"HMDB12336"	"NA"	"Lipids"	"Glycerophospholipids"
"7867"	"HMDB12337"	"NA"	"Lipids"	"Glycerophospholipids"
"7868"	"HMDB12338"	"NA"	"Lipids"	"Glycerophospholipids"
"7869"	"HMDB12339"	"NA"	"Lipids"	"Glycerophospholipids"
"7870"	"HMDB12340"	"NA"	"Lipids"	"Glycerophospholipids"
"7871"	"HMDB12341"	"NA"	"Lipids"	"Glycerophospholipids"
"7872"	"HMDB12342"	"NA"	"Lipids"	"Glycerophospholipids"
"7873"	"HMDB12343"	"NA"	"Lipids"	"Glycerophospholipids"
"7874"	"HMDB12344"	"NA"	"Lipids"	"Glycerophospholipids"
"7875"	"HMDB12345"	"NA"	"Lipids"	"Glycerophospholipids"
"7876"	"HMDB12346"	"NA"	"Lipids"	"Glycerophospholipids"
"7877"	"HMDB12347"	"NA"	"Lipids"	"Glycerophospholipids"
"7878"	"HMDB12348"	"NA"	"Lipids"	"Glycerophospholipids"
"7879"	"HMDB12349"	"NA"	"Lipids"	"Glycerophospholipids"
"7880"	"HMDB12350"	"NA"	"Lipids"	"Glycerophospholipids"
"7881"	"HMDB12351"	"NA"	"Lipids"	"Glycerophospholipids"
"7882"	"HMDB12352"	"NA"	"Lipids"	"Glycerophospholipids"
"7883"	"HMDB12353"	"NA"	"Lipids"	"Glycerophospholipids"
"7884"	"HMDB12355"	"NA"	"Lipids"	"Glycerophospholipids"
"7885"	"HMDB12356"	"NA"	"Lipids"	"Glycerophospholipids"
"7886"	"HMDB12357"	"NA"	"Lipids"	"Glycerophospholipids"
"7887"	"HMDB12358"	"NA"	"Lipids"	"Glycerophospholipids"
"7888"	"HMDB12359"	"NA"	"Lipids"	"Glycerophospholipids"
"7889"	"HMDB12360"	"NA"	"Lipids"	"Glycerophospholipids"
"7890"	"HMDB12361"	"NA"	"Lipids"	"Glycerophospholipids"
"7891"	"HMDB12362"	"NA"	"Lipids"	"Glycerophospholipids"
"7892"	"HMDB12363"	"NA"	"Lipids"	"Glycerophospholipids"
"7893"	"HMDB12364"	"NA"	"Lipids"	"Glycerophospholipids"
"7894"	"HMDB12365"	"NA"	"Lipids"	"Glycerophospholipids"
"7895"	"HMDB12366"	"NA"	"Lipids"	"Glycerophospholipids"
"7896"	"HMDB12367"	"NA"	"Lipids"	"Glycerophospholipids"
"7897"	"HMDB12368"	"NA"	"Lipids"	"Glycerophospholipids"
"7898"	"HMDB12369"	"NA"	"Lipids"	"Glycerophospholipids"
"7899"	"HMDB12370"	"NA"	"Lipids"	"Glycerophospholipids"
"7900"	"HMDB12371"	"NA"	"Lipids"	"Glycerophospholipids"
"7901"	"HMDB12372"	"NA"	"Lipids"	"Glycerophospholipids"
"7902"	"HMDB12373"	"NA"	"Lipids"	"Glycerophospholipids"
"7903"	"HMDB12374"	"NA"	"Lipids"	"Glycerophospholipids"
"7904"	"HMDB12375"	"NA"	"Lipids"	"Glycerophospholipids"
"7905"	"HMDB12376"	"NA"	"Lipids"	"Glycerophospholipids"
"7906"	"HMDB12377"	"NA"	"Lipids"	"Glycerophospholipids"
"7907"	"HMDB12378"	"NA"	"Lipids"	"Glycerophospholipids"
"7908"	"HMDB12380"	"NA"	"Lipids"	"Glycerophospholipids"
"7909"	"HMDB12381"	"NA"	"Lipids"	"Glycerophospholipids"
"7910"	"HMDB12382"	"NA"	"Lipids"	"Glycerophospholipids"
"7911"	"HMDB12383"	"NA"	"Lipids"	"Glycerophospholipids"
"7912"	"HMDB12385"	"NA"	"Lipids"	"Glycerophospholipids"
"7913"	"HMDB12386"	"NA"	"Lipids"	"Glycerophospholipids"
"7914"	"HMDB12387"	"NA"	"Lipids"	"Glycerophospholipids"
"7915"	"HMDB12388"	"NA"	"Lipids"	"Glycerophospholipids"
"7916"	"HMDB12389"	"NA"	"Lipids"	"Glycerophospholipids"
"7917"	"HMDB12390"	"NA"	"Lipids"	"Glycerophospholipids"
"7918"	"HMDB12391"	"NA"	"Lipids"	"Glycerophospholipids"
"7919"	"HMDB12392"	"NA"	"Lipids"	"Glycerophospholipids"
"7920"	"HMDB12393"	"NA"	"Lipids"	"Glycerophospholipids"
"7921"	"HMDB12394"	"NA"	"Lipids"	"Glycerophospholipids"
"7922"	"HMDB12395"	"NA"	"Lipids"	"Glycerophospholipids"
"7923"	"HMDB12396"	"NA"	"Lipids"	"Glycerophospholipids"
"7924"	"HMDB12397"	"NA"	"Lipids"	"Glycerophospholipids"
"7925"	"HMDB12398"	"NA"	"Lipids"	"Glycerophospholipids"
"7926"	"HMDB12399"	"NA"	"Lipids"	"Glycerophospholipids"
"7927"	"HMDB12400"	"NA"	"Lipids"	"Glycerophospholipids"
"7928"	"HMDB12401"	"NA"	"Lipids"	"Glycerophospholipids"
"7929"	"HMDB12402"	"NA"	"Lipids"	"Glycerophospholipids"
"7930"	"HMDB12403"	"NA"	"Lipids"	"Glycerophospholipids"
"7931"	"HMDB12404"	"NA"	"Lipids"	"Glycerophospholipids"
"7932"	"HMDB12405"	"NA"	"Lipids"	"Glycerophospholipids"
"7933"	"HMDB12406"	"NA"	"Lipids"	"Glycerophospholipids"
"7934"	"HMDB12407"	"NA"	"Lipids"	"Glycerophospholipids"
"7935"	"HMDB12408"	"NA"	"Lipids"	"Glycerophospholipids"
"7936"	"HMDB12409"	"NA"	"Lipids"	"Glycerophospholipids"
"7937"	"HMDB12410"	"NA"	"Lipids"	"Glycerophospholipids"
"7938"	"HMDB12411"	"NA"	"Lipids"	"Glycerophospholipids"
"7939"	"HMDB12412"	"NA"	"Lipids"	"Glycerophospholipids"
"7940"	"HMDB12413"	"NA"	"Lipids"	"Glycerophospholipids"
"7941"	"HMDB12414"	"NA"	"Lipids"	"Glycerophospholipids"
"7942"	"HMDB12415"	"NA"	"Lipids"	"Glycerophospholipids"
"7943"	"HMDB12416"	"NA"	"Lipids"	"Glycerophospholipids"
"7944"	"HMDB12417"	"NA"	"Lipids"	"Glycerophospholipids"
"7945"	"HMDB12418"	"NA"	"Lipids"	"Glycerophospholipids"
"7946"	"HMDB12419"	"NA"	"Lipids"	"Glycerophospholipids"
"7947"	"HMDB12420"	"NA"	"Lipids"	"Glycerophospholipids"
"7948"	"HMDB12421"	"NA"	"Lipids"	"Glycerophospholipids"
"7949"	"HMDB12422"	"NA"	"Lipids"	"Glycerophospholipids"
"7950"	"HMDB12423"	"NA"	"Lipids"	"Glycerophospholipids"
"7951"	"HMDB12424"	"NA"	"Lipids"	"Glycerophospholipids"
"7952"	"HMDB12425"	"NA"	"Lipids"	"Glycerophospholipids"
"7953"	"HMDB12426"	"NA"	"Lipids"	"Glycerophospholipids"
"7954"	"HMDB12427"	"NA"	"Lipids"	"Glycerophospholipids"
"7955"	"HMDB12428"	"NA"	"Lipids"	"Glycerophospholipids"
"7956"	"HMDB12429"	"NA"	"Lipids"	"Glycerophospholipids"
"7957"	"HMDB12430"	"NA"	"Lipids"	"Glycerophospholipids"
"7958"	"HMDB12431"	"NA"	"Lipids"	"Glycerophospholipids"
"7959"	"HMDB12432"	"NA"	"Lipids"	"Glycerophospholipids"
"7960"	"HMDB12433"	"NA"	"Lipids"	"Glycerophospholipids"
"7961"	"HMDB12434"	"NA"	"Lipids"	"Glycerophospholipids"
"7962"	"HMDB12435"	"NA"	"Lipids"	"Glycerophospholipids"
"7963"	"HMDB12436"	"NA"	"Lipids"	"Glycerophospholipids"
"7964"	"HMDB12437"	"NA"	"Lipids"	"Glycerophospholipids"
"7965"	"HMDB12438"	"NA"	"Lipids"	"Glycerophospholipids"
"7966"	"HMDB12439"	"NA"	"Lipids"	"Glycerophospholipids"
"7967"	"HMDB12440"	"NA"	"Lipids"	"Glycerophospholipids"
"7968"	"HMDB12441"	"NA"	"Lipids"	"Glycerophospholipids"
"7969"	"HMDB12442"	"NA"	"Lipids"	"Glycerophospholipids"
"7970"	"HMDB12443"	"NA"	"Lipids"	"Glycerophospholipids"
"7971"	"HMDB12444"	"NA"	"Lipids"	"Glycerophospholipids"
"7972"	"HMDB12445"	"NA"	"Lipids"	"Glycerophospholipids"
"7973"	"HMDB12446"	"NA"	"Lipids"	"Glycerophospholipids"
"7974"	"HMDB12447"	"NA"	"Lipids"	"Glycerophospholipids"
"7975"	"HMDB12448"	"NA"	"Lipids"	"Glycerophospholipids"
"7976"	"HMDB12449"	"NA"	"Lipids"	"Glycerophospholipids"
"7977"	"HMDB12450"	"NA"	"Lipids"	"Glycerophospholipids"
"7978"	"HMDB12451"	"C16680"	"Lipids"	"Prenol Lipids"
"7979"	"HMDB12452"	"C16679"	"Lipids"	"Prenol Lipids"
"7980"	"HMDB12453"	"C17333"	"Lipids"	"Steroids and Steroid Derivatives"
"7981"	"HMDB12454"	"C17335"	"Lipids"	"Steroids and Steroid Derivatives"
"7982"	"HMDB12455"	"C05444"	"Lipids"	"Steroids and Steroid Derivatives"
"7983"	"HMDB12456"	"C05448"	"Lipids"	"Fatty Acid Esters"
"7984"	"HMDB12457"	"C17331"	"Lipids"	"Steroids and Steroid Derivatives"
"7985"	"HMDB12458"	"C17337"	"Lipids"	"Prenol Lipids"
"7986"	"HMDB12459"	"C17336"	"Lipids"	"Steroids and Steroid Derivatives"
"7987"	"HMDB12467"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Flavonoids"
"7988"	"HMDB12468"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Flavonoids"
"7989"	"HMDB12469"	"C09640"	"Aromatic Heteropolycyclic Compounds"	"Isoquinolines"
"7990"	"HMDB12470"	"NA"	"Lipids"	"Fatty Acid Esters"
"7991"	"HMDB12471"	"NA"	"Lipids"	"Fatty Acid Esters"
"7992"	"HMDB12472"	"NA"	"Lipids"	"Fatty Acid Esters"
"7993"	"HMDB12473"	"NA"	"Lipids"	"Fatty Acid Esters"
"7994"	"HMDB12474"	"NA"	"Lipids"	"Fatty Acid Esters"
"7995"	"HMDB12475"	"C14145"	"Lipids"	"Fatty Acid Esters"
"7996"	"HMDB12476"	"NA"	"Lipids"	"Fatty Acid Esters"
"7997"	"HMDB12477"	"NA"	"Lipids"	"Fatty Acid Esters"
"7998"	"HMDB12479"	"NA"	"Lipids"	"Fatty Acid Esters"
"7999"	"HMDB12480"	"NA"	"Lipids"	"Fatty Acid Esters"
"8000"	"HMDB12481"	"C04671"	"Lipids"	"Eicosanoids"
"8001"	"HMDB12482"	"C06486"	"Aromatic Heteropolycyclic Compounds"	"Pteridines and Derivatives"
"8002"	"HMDB12484"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Isoquinolines"
"8003"	"HMDB12485"	"NA"	"Carbohydrates and Carbohydrate Conjugates"	"Monosaccharides"
"8004"	"HMDB12486"	"C06350"	"Aromatic Heteropolycyclic Compounds"	"Isoquinolines"
"8005"	"HMDB12487"	"NA"	"Lipids"	"Fatty Acid Esters"
"8006"	"HMDB12488"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Indoles"
"8007"	"HMDB12489"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Isoquinolines"
"8008"	"HMDB12490"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Isoquinolines"
"8009"	"HMDB12491"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"8010"	"HMDB12492"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"8011"	"HMDB12494"	"C11174"	"Aliphatic Homomonocyclic Compounds"	"Cyclic Alcohols and Derivatives"
"8012"	"HMDB12496"	"NA"	"Lipids"	"Eicosanoids"
"8013"	"HMDB12497"	"C15668"	"Aliphatic Heteromonocyclic Compounds"	"Pyrrolines"
"8014"	"HMDB12498"	"NA"	"Lipids"	"Eicosanoids"
"8015"	"HMDB12501"	"NA"	"Lipids"	"Eicosanoids"
"8016"	"HMDB12502"	"NA"	"Lipids"	"Eicosanoids"
"8017"	"HMDB12503"	"NA"	"Lipids"	"Eicosanoids"
"8018"	"HMDB12504"	"NA"	"Lipids"	"Eicosanoids"
"8019"	"HMDB12508"	"NA"	"Lipids"	"Eicosanoids"
"8020"	"HMDB12515"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Benzopyrans"
"8021"	"HMDB12516"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Benzopyrans"
"8022"	"HMDB12517"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Benzopyrans"
"8023"	"HMDB12518"	"NA"	"Aromatic Heteropolycyclic Compounds"	"Benzopyrans"
"8024"	"HMDB12530"	"NA"	"Lipids"	"Fatty Amides"
"8025"	"HMDB12533"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"8026"	"HMDB12534"	"NA"	"Lipids"	"Eicosanoids"
"8027"	"HMDB12535"	"NA"	"Lipids"	"Fatty Alcohols"
"8028"	"HMDB12549"	"NA"	"Lipids"	"Fatty Acids and Conjugates"
"8029"	"HMDB12550"	"NA"	"Lipids"	"Fatty Acids and Conjugates"
"8030"	"HMDB12551"	"NA"	"Lipids"	"Eicosanoids"
"8031"	"HMDB12552"	"NA"	"Lipids"	"Eicosanoids"
"8032"	"HMDB12553"	"NA"	"Lipids"	"Eicosanoids"
"8033"	"HMDB12555"	"NA"	"Lipids"	"Prenol Lipids"
"8034"	"HMDB12556"	"NA"	"Lipids"	"Prenol Lipids"
"8035"	"HMDB12557"	"NA"	"Lipids"	"Prenol Lipids"
"8036"	"HMDB12558"	"NA"	"Lipids"	"Prenol Lipids"
"8037"	"HMDB12559"	"NA"	"Lipids"	"Prenol Lipids"
"8038"	"HMDB12560"	"NA"	"Lipids"	"Prenol Lipids"
"8039"	"HMDB12561"	"NA"	"Lipids"	"Prenol Lipids"
"8040"	"HMDB12562"	"NA"	"Lipids"	"Prenol Lipids"
"8041"	"HMDB12563"	"NA"	"Lipids"	"Eicosanoids"
"8042"	"HMDB12564"	"NA"	"Lipids"	"Eicosanoids"
"8043"	"HMDB12567"	"NA"	"Lipids"	"Eicosanoids"
"8044"	"HMDB12575"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"8045"	"HMDB12576"	"NA"	"Lipids"	"Fatty Acid Esters"
"8046"	"HMDB12580"	"C00584"	"Lipids"	"Fatty Acids and Conjugates"
"8047"	"HMDB12587"	"NA"	"Lipids"	"Eicosanoids"
"8048"	"HMDB12588"	"NA"	"Lipids"	"Eicosanoids"
"8049"	"HMDB12590"	"NA"	"Lipids"	"Eicosanoids"
"8050"	"HMDB12593"	"NA"	"Lipids"	"Fatty Acid Esters"
"8051"	"HMDB12594"	"NA"	"Lipids"	"Fatty Acid Esters"
"8052"	"HMDB12597"	"NA"	"Lipids"	"Fatty Acid Esters"
"8053"	"HMDB12598"	"NA"	"Lipids"	"Eicosanoids"
"8054"	"HMDB12601"	"C00584"	"Lipids"	"Fatty Acids and Conjugates"
"8055"	"HMDB12605"	"NA"	"Lipids"	"Fatty Acid Esters"
"8056"	"HMDB12606"	"NA"	"Lipids"	"Fatty Acid Esters"
"8057"	"HMDB12607"	"NA"	"Amino Acids, Peptides, and Analogues"	"Amino Acids and Derivatives"
"8058"	"HMDB12608"	"NA"	"Lipids"	"Fatty Acid Esters"
"8059"	"HMDB12609"	"NA"	"Lipids"	"Fatty Acid Esters"
"8060"	"HMDB12610"	"NA"	"Lipids"	"Fatty Acid Esters"
"8061"	"HMDB12611"	"NA"	"Lipids"	"Eicosanoids"
"8062"	"HMDB12612"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"8063"	"HMDB12613"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"8064"	"HMDB12614"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"8065"	"HMDB12622"	"NA"	"Lipids"	"Steroids and Steroid Derivatives"
"8066"	"HMDB12623"	"NA"	"Amino Acids, Peptides, and Analogues"	"Peptides"
"8067"	"HMDB12624"	"NA"	"Amino Acids, Peptides, and Analogues"	"Peptides"
"8068"	"HMDB12631"	"NA"	"Lipids"	"Fatty Acid Esters"
"8069"	"HMDB12632"	"NA"	"Lipids"	"Fatty Acid Esters"
"8070"	"HMDB12633"	"NA"	"Lipids"	"Fatty Alcohols"
"8071"	"HMDB12634"	"NA"	"Lipids"	"Eicosanoids"
